,Ticker,Shares
1,SQ,1972.2309544561388
2,BK,456.17110069208593
3,SPG,172.60425733288918
4,AAPL,140.6612196845624
5,GM,514.9118587431839
6,BMBL,944.8224060850622
7,HOOD,2218.6722653474612
8,AXP,135.14975126968505
9,GOOG,213.45628749018215
10,AMZN,223.031072867671
11,SHOP,1698.8311618557657
12,QQQ,435.66148804563386
